Prompt,Completion
Compensation Expressed as a Percentage of Total Sum Insured Permanent disablement not otherwise provided for under Items  2-22 inclusive up to a maximum,Seventy Fivepercent of the Total Sum Insured
"Compensation Expressed as a Percentage of Total Sum Insured Ankylosis of the elbow, hip or knee.",Twenty Percent of the Total Sum Insured
Compensation Expressed as a Percentage of Total Sum Insured   Established non-union of fractured leg or kneecap,Ten Percent of the Total Sum Insured
Compensation Expressed as a Percentage of Total Sum Insured Permanent Total Loss of use of toes: Big – each toe,Two Perecent of the Total Sum Insured
Compensation Expressed as a Percentage of Total Sum Insured Permanent Total Loss of use of toes:  Big – one joint,Two Percent  of the Total Sum Insured
Compensation Expressed as a Percentage of Total Sum Insured Permanent Total Loss of use of toes:  Big – both joints,Five Percent of the Total Sum Insured
Compensation Expressed as a Percentage of Total Sum Insured Permanent Total Loss of use of toes:  All – one foot,Fifteen Percent of the Total Sum Insured
Compensation Expressed as a Percentage of Total Sum Insured Permanent Total Loss of one finger of either hand with One joint ,Two Percent of the Total Sum Insured
Compensation Expressed as a Percentage of Total Sum Insured Permanent Total Loss of one finger of either hand with Two joints ,3.5 percent of the Total Sum Insured
Compensation Expressed as a Percentage of Total Sum Insured Permanent Total Loss of one finger of either hand with Three joints ,Five Percent of the Total Sum Insured
Compensation Expressed as a Percentage of Total Sum Insured  Permanent Total Loss of use of one thumb of either hand with One joint,Ten Percent of the Total Sum Insured
Compensation Expressed as a Percentage of Total Sum Insured Permanent Total Loss of use of one thumb of either hand with Both joints b. One joint ,Twenty Percent of the Total Sum Insured
Compensation Expressed as a Percentage of Total Sum Insured  Permanent Total Loss of use of four fingers of either hand,Twenty Percent of the Total Sum Insured
Compensation Expressed as a Percentage of Total Sum Insured Permanent Total Loss of use of four fingers and thumb of either hand ,Fourty Percent of the Total Sum Insured
Compensation Expressed as a Percentage of Total Sum Insured  Permanent Total Loss of the lens in one eye,Twenty Five Percent of the Total Sum Insured
Compensation Expressed as a Percentage of Total Sum Insured  Permanent Total Loss of Hearing in one ear,Fifteen Percent of the Total Sum Insured
Compensation Expressed as a Percentage of Total Sum Insured  Permanent Total Loss of Sight of one eye ,"Fifty Percent of the Total Sum Insured
"
Compensation Expressed as a Percentage of Total Sum Insured Permanent Total Loss of one Limb,Fifty Percent of the Total Sum Insured 
Compensation Expressed as a Percentage of Total Sum Insured Permanent Total Loss of Hearing in both ears ,Seventy Fice Prcent of the Total Sum Insured
Compensation Expressed as a Percentage of Total Sum Insured Permanent Total Loss of the central nervous system or the thorax and all abdominal organs resulting in the complete inability to engage in any job and the inability to carry out Daily Activities essential to life without full time assistance.,Hundread Percent of the Total Sum Insured
Compensation Expressed as a Percentage of Total Sum Insured  Permanent Total Loss of Mastication,Hundread Percent of the Total Sum Insured
Compensation Expressed as a Percentage of Total Sum Insured Complete removal of the lower jaw ,Hundread Percent of the Total Sum Insured
Compensation Expressed as a Percentage of Total Sum Insured Complete removal of the lower jaw ,Hundread Percent of the Total Sum Insured
Compensation Expressed as a Percentage of Total Sum Insured  Permanent Total Loss of Sight of one eye and one Limb,1Hundread Percent of the Total Sum Insured
Compensation Expressed as a Percentage of Total Sum Insured Permanent Total Loss of Sight in both eyes ,Hundread Percent of the Total Sum Insured
Compensation Expressed as a Percentage of Total Sum Insured  Permanent Total Loss of two Limbs,Hundread Percent of the Total Sum Insured
Compensation Expressed as a Percentage of Total Sum Insured Permanent and incurable insanity,Hundread Percent of the Total Sum Insured
Compensation Expressed as a Percentage of Total Sum Insured Permanent Total Disablement,Hundread Percent of the Total Sum Insured
