,Date,Title,Image
0,"Sep 24, 2021 03:09","As Nifty Heads Toward 18,000, are the Markets Overheated?",https://i-invdn-com.investing.com/news/MumbaiStockExchange_800x533_L_1630012529.jpg
1,"Sep 23, 2021 22:00","Airtel, Voda-Idea, RIL, Dish TV, Yes Bank, BPCL, SBI Cards, Jubilant Foodworks, Adani stocks in focus",https://i-invdn-com.investing.com/news/Pharmeceuticals_800x533_L_1598852247.jpg
2,"Sep 23, 2021 21:38","Market LIVE: SGX Nifty hints at cautious start for Sensex, Nifty; Sansera Engineering shares listing today",https://i-invdn-com.investing.com/akapi-images/520x292/17a22b78584432bb38c7f483cbc327b1_w_520_h_292.jpg
3,"Sep 23, 2021 20:57","Bulls unafraid of hawkish Fed, scale new highs",https://i-invdn-com.investing.com/akapi-images/520x292/f3c1721d746e310d7dbfcd9c17438b29_w_520_h_292.jpg
4,"Sep 23, 2021 19:43",Day trading guide for Friday: 7 stocks to buy or sell — 24th September,https://i-invdn-com.investing.com/akapi-images/520x292/68c043fb19fffa5582b4ec9274bcf63a_w_520_h_292.jpg
5,"Sep 23, 2021 12:33",Realty Stocks To Buy As Outlook For The Sector Remains Bullish: Nifty Realty Gains 23% In 4 Session,https://i-invdn-com.investing.com/news/MumbaiStockExchange_800x533_L_1628748294.jpg
6,"Sep 23, 2021 11:36","Sensex nudges historic 60,000 mark",https://i-invdn-com.investing.com/akapi-images/520x292/1435611c7c8c66c2e1df537b4ba03a3d_w_520_h_292.jpg
7,"Sep 23, 2021 11:18",Two Reasons why the Indian Markets Closed Strongly Today,https://i-invdn-com.investing.com/akapi-images/520x292/f3b3ecf25f2035577ee6fcc86c900f07_w_520_h_292.jpg
8,"Sep 23, 2021 10:45",India shares higher at close of trade; Nifty 50 up 1.57%,https://i-invdn-com.investing.com/news/MumbaiStockExchange_800x533_L_1628748294.jpg
9,"Sep 23, 2021 05:35","Sensex, Nifty scale fresh closing highs: Top reasons behind the surge",https://i-invdn-com.investing.com/akapi-images/520x292/ec704d7ed51e54f329a789510d3fc08c_w_520_h_292.jpg
10,"Sep 23, 2021 05:30","F&O expiry: Sensex eyes 60,000 target, Nifty at fresh record closing; Is 18,000 on cards for Nifty?",https://i-invdn-com.investing.com/akapi-images/520x292/8fbc491568c7871db9f80296cc957126_w_520_h_292.jpg
11,"Sep 23, 2021 05:26","Sensex soars 958 points, logs biggest gain in four months; Nifty tops 17,800; Sobha jumps 8%, L&T 4%",https://i-invdn-com.investing.com/akapi-images/520x292/26765bc8a3d976d25045053aee068be1_w_520_h_292.jpg
